Region,Country,ISO.Code,RE.or.Non.RE,Group.Technology,Technology,Producer.Type,Year,Electricity.Installed.Capacity..MW.
Africa,Cameroon,CMR,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,732
Africa,Cameroon,CMR,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,732
Africa,Cameroon,CMR,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,777
Africa,Cameroon,CMR,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,777
Africa,Cameroon,CMR,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,9
Africa,Cameroon,CMR,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,12
Africa,Cameroon,CMR,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,14
Africa,Cameroon,CMR,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,14
Africa,Cameroon,CMR,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,14
Africa,Central African Republic,CAF,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,22
Africa,Central African Republic,CAF,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,22
Africa,Central African Republic,CAF,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,22
Africa,Central African Republic,CAF,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,22
Africa,Central African Republic,CAF,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,22
Africa,Central African Republic,CAF,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2016,0
Africa,Central African Republic,CAF,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2017,0
Africa,Central African Republic,CAF,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2018,0
Africa,Central African Republic,CAF,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2019,0
Africa,Central African Republic,CAF,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2020,0
Africa,Central African Republic,CAF,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,19
